Number,Start_Mon,Close_Mon,Start_Tue,Close_Tue,Start_Wed,Close_Wed,Start_Thu,Close_Thu,Start_Fri,Close_Fri,Start_Sat,Close_Sat,Start_Sun,Close_Sun,IsOpenHoliday,Lunch_Week
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjODEjJDEjJDYjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900,1130,1900,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDgjJDgz,900,1830,900,1830,900,1830,900,1830,900,1830,900,1500,,,9 :00 ~ 13 : 00,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ3MiQzNjEyMjIjNTEjJDEjJDIjJDgz,,,,,,,,,,,,,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4MiQyNjEwMDIjODEjJDEjJDYjJDgz,,,,,,,,,,,,,,,오전9시~오후4시까지,오후1시~오후2시까지
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNTEjJDEjJDYjJDgz,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4OSQyNjE0ODEjNjEjJDEjJDAjJDgz,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300,,,휴진,13시30분 ~14시 30분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjODEjJDEjJDYjJDgz,,,,,,,,,,,,,,,휴진,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,830,2130,830,2130,830,2130,830,2130,830,2130,830,1900,1100,1900,09시부터 17시까지 운영합니다.,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNzEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,,,,,,,,,,,,,,,,09시00분~22시00분
